ERROR:root:
Fermeture du serveur suite à une interruption clavier.
ERROR:root:Erreur lors de l'enregistrement de la sanction dans la base de données : 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`sae_r309`.`sanctions`, CONSTRAINT `sanctions_ibfk_1` FOREIGN KEY (`identifiant`) REFERENCES `utilisateurs` (`identifiant`))
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50868) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 50869) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51136) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 51137) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51190) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 51191) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51272) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 51273) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51453) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 51454) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51526) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 51527) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 51624) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 51625) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 52021) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 52022) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 52072) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 52073) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 52107) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 52108) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 52174) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 52175) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 52680) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 52730) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 52731) a été réinitialisée par le client.
ERROR:root:La connexion avec ('127.0.0.1', 52681) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50233) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
ERROR:root:La connexion avec ('127.0.0.1', 50234) a été réinitialisée par le client.
ERROR:root:Une exception s'est produite avec ('127.0.0.1', 50596) : [WinError 10053] Une connexion établie a été abandonnée par un logiciel de votre ordinateur hôte
